<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;28.01.2022;255,87;257,82;204 180 270;52 531 847 944,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;31.01.2022;258,98;269,42;156 175 080;41 439 465 846,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.02.2022;269,72;264,7;170 396 140;45 265 999 275,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;02.02.2022;265,88;261;170 215 080;44 266 555 958,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;03.02.2022;258,45;250,79;151 173 100;38 264 109 218,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.02.2022;251,99;256,53;127 035 170;32 465 015 937,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.02.2022;256,99;257,61;85 586 640;21 984 857 622,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.02.2022;257,6;269,8;161 506 220;42 797 055 854,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;09.02.2022;270,01;279,09;193 575 010;53 580 134 334,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;10.02.2022;279,2;275,2;180 148 360;49 971 152 910,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.02.2022;274,9;260,83;213 954 390;57 202 046 478,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.02.2022;256,69;256,7;357 654 570;90 439 846 224,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.02.2022;257,89;274;271 518 670;72 536 855 943,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;16.02.2022;276,88;277,78;195 822 410;54 327 320 546,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;17.02.2022;277;260,58;262 088 700;69 639 981 675,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.02.2022;262,13;250,28;270 594 740;69 033 777 422,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.02.2022;249,15;201;1 084 508 440;238 583 656 296,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.02.2022;198,72;208,53;946 020 570;188 663 299 795,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.02.2022;187,54;132,18;829 355 880;98 281 399 197,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.02.2022;123,75;131,12;396 287 150;51 769 813 725,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.03.2022;131;136,24;159 464 350;22 692 069 361,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.03.2022;137;131,5;57 662 950;7 725 368 187,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;28.03.2022;130,6;125;33 212 430;4 203 874 797,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.03.2022;126,16;128,77;72 338 740;9 470 337 365,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;30.03.2022;136,89;134,6;35 675 450;4 754 053 635,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;31.03.2022;135,25;143,69;118 425 000;16 669 448 877,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.04.2022;145;154,5;118 880 720;18 022 334 419,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.04.2022;158,76;166;115 938 910;18 622 917 617,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.04.2022;169,83;154,1;130 342 790;20 715 568 335,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.04.2022;143,51;141,6;109 040 410;16 064 065 136,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.04.2022;143,1;147,5;58 839 040;8 603 867 601,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.04.2022;149,05;143,72;48 450 590;7 042 432 416,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.04.2022;144,09;138,69;47 575 830;6 769 147 874,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.04.2022;138,84;135,38;75 388 800;10 068 815 929,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.04.2022;136,78;135,5;39 087 840;5 281 816 161,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.04.2022;135,85;129,05;44 368 360;5 854 258 707,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.04.2022;128,55;130,88;46 772 550;6 025 059 285,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.04.2022;131,41;123,85;58 500 600;7 419 239 922,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.04.2022;123,85;120,3;79 905 700;9 552 876 654,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.04.2022;121;121,5;66 603 200;8 136 201 185,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.04.2022;121,97;118,65;40 648 560;4 864 876 092,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.04.2022;118,65;116,97;57 466 590;6 798 689 067,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.04.2022;116;111,9;45 811 390;5 179 109 798,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
